insertId,"jsonPayload.""logging.googleapis.com/sourceLocation"".file","jsonPayload.""logging.googleapis.com/sourceLocation"".method",jsonPayload.message,"labels.""goog-managed-by""",labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,sourceLocation.file,timestamp
65e0b3f8000cf04a286b05fd,functions/Logic.java,service,cpu:=140000000  rt:=328807485,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:33.133368544Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:32.847946Z
65e0b3f800064bdd0e48977c,functions/Logic.java,service,cpu:=6140000000  rt:=495271069,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:32.467567216Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:32.412637Z
65e0b3f8000633807f98aa32,functions/Logic.java,service,cpu:=-29490000000  rt:=488975650,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:32.467567216Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:32.406400Z
65e0b3f3000905dd5c09b13b,functions/Logic.java,service,cpu:=20000000  rt:=3402155898,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:27.805608640Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:27.591325Z
65e0b3f0000b9d210e55cbc8,functions/Logic.java,service,cpu:=2740000000  rt:=3001459058,cloudfunctions,00d087f5e076e110c7ef432adc43f8ddc3ef94c70e97160d26818cac4014baa1b00fddd6c3e7db457c2cf7646a3676429fa24827e0c2d108d954cd1c0322b030c40b73,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:24.808668617Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:24.761121Z
65e0b3f000093f758b8ecc7e,functions/Logic.java,service,cpu:=-440000000  rt:=416909707,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:24.808668617Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:24.606069Z
65e0b3f00007f533c0785d67,functions/Logic.java,service,cpu:=-30690000000  rt:=332420599,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:24.808668617Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:24.521523Z
65e0b3ef000bf9eccab4ce74,functions/Logic.java,service,cpu:=810000000  rt:=10738573,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:23.809390576Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:23.784876Z
65e0b3ed000e3717e9c0d283,functions/Logic.java,service,cpu:=15510000000  rt:=2693958732,cloudfunctions,00d087f5e081d6f48c2a9bf709c20c29826e258d2de4b73d2c04ec8849cb17aabb4206f557966c7a558e689d033dffd3e9525d61c8fcc4376b7caf50ba21b9e9f28d0d,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:22.144930242Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:21.931607Z
65e0b3ed000dd34e0e4cf771,functions/Logic.java,service,cpu:=-2420000000  rt:=145781924,cloudfunctions,00d087f5e076e110c7ef432adc43f8ddc3ef94c70e97160d26818cac4014baa1b00fddd6c3e7db457c2cf7646a3676429fa24827e0c2d108d954cd1c0322b030c40b73,projects/modellearning/logs/run.googleapis.com%2Fstdout,,2024-02-29T16:42:22.144930242Z,ssitem,northamerica-northeast1,modellearning,ssitem-00009-mt2,ssitem,cloud_run_revision,INFO,functions/Logic.java,2024-02-29T16:42:21.906062Z
